OID_,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape_Length,Shape_Area
49,C13305,2023101701.000000000000000,2023,Person,2023-C13305,10.400000000000000,2023 ROLLOVER,20231017,20231017,20230917,Non-corrected ground GPS,JA70003000,0.000000000000000,2703210.000000000000000,104389.883700000005774,2850.676199999999881,2850.676161315312129,104389.883710611247807
50,G50856,2023072502.000000000000000,2023,Lightning,2023-G50856,5712.699999999999818,2023 ROLLOVER,20230725,20230828,20230623,Derived from satellite imagery,JA70003000,0.000000000000000,2703345.000000000000000,57127275.314900003373623,50459.569999999999709,50459.569952622892743,57127275.314900979399681
51,G50912,2023072101.000000000000000,2023,Lightning,2023-G50912,816.899999999999977,2023 ROLLOVER,20230721,20230721,20230625,Processed IR image,JA70003000,0.000000000000000,2703347.000000000000000,8168548.654699999839067,13610.167499999999563,13610.167521162455159,8168548.654727825894952
52,G50916,2024011601.000000000000000,2023,Lightning,2023-G50916,1.200000000000000,2023 ROLLOVER,20240116,20240116,20230618,Hand sketch of any type,JA70003000,0.000000000000000,2703348.000000000000000,12096.381100000000515,435.864100000000008,435.864108825131780,12096.381147701215014
53,G51279,2023092302.000000000000000,2023,Lightning,2023-G51279,47888.300000000002910,2023 ROLLOVER,20230923,20230923,20230708,Processed IR image,JA70003000,0.000000000000000,2703349.000000000000000,478882964.461099982261658,152876.899200000014389,152876.899233193078544,478882964.461083650588989
54,G51284,2023122101.000000000000000,2023,Lightning,2023-G51284,7.100000000000000,2023 ROLLOVER,20231221,20231222,20230708,Hand sketch of any type,JA70003000,0.000000000000000,2703350.000000000000000,70681.475399999995716,1166.426699999999983,1166.426747605040418,70681.475427225552266
55,G51344,2023092701.000000000000000,2023,Lightning,2023-G51344,5219.600000000000364,2023 ROLLOVER,20230927,20230928,20230708,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703351.000000000000000,52195808.748300001025200,74748.906099999992875,74748.906112475713599,52195808.748258382081985
56,G51474,2023091001.000000000000000,2023,Lightning,2023-G51474,1503.400000000000091,2023 ROLLOVER,20230910,20230910,20230708,Processed IR image,JA70003000,0.000000000000000,2703353.000000000000000,15034023.612800000235438,23811.252100000001519,23811.252104464660079,15034023.612808784469962
57,G11978,2023072201.000000000000000,2023,Lightning,2023-G11978,6.100000000000000,2023 ROLLOVER,20230722,20230809,20230720,Non-corrected ground GPS,JA70003000,0.000000000000000,2703297.000000000000000,60612.519599999999627,1404.774200000000064,1404.774180548915410,60612.519551637087716
58,G12007,2023072101.000000000000000,2023,Lightning,2023-G12007,8.500000000000000,2023 ROLLOVER,20230721,20230722,20230720,Non-corrected ground GPS,JA70003000,0.000000000000000,2703299.000000000000000,85039.012400000006892,3248.943200000000161,3248.943230775488246,85039.012433354495442
59,G12034,2024020801.000000000000000,2023,Lightning,2023-G12034,0.400000000000000,2023 ROLLOVER,20240208,20240208,20230720,Hand sketch of any type,JA70003000,0.000000000000000,2703300.000000000000000,4165.557399999999689,280.533399999999972,280.533378028942593,4165.557424060631092
60,G40324,2023052001.000000000000000,2023,Lightning,2023-G40324,142.699999999999989,2023 ROLLOVER,20230520,20230521,20230515,Hand sketch of any type,JA70003000,0.000000000000000,2703317.000000000000000,1426797.689199999906123,6657.414700000000266,6657.414701560747744,1426797.689192703226581
61,G41035,2023070101.000000000000000,2023,Lightning,2023-G41035,1.900000000000000,2023 ROLLOVER,20230701,20230720,20230701,Non-corrected ground GPS,JA70003000,0.000000000000000,2703318.000000000000000,18636.705300000001444,1048.395299999999907,1048.395316319785934,18636.705265617525583
62,G41149,2023071201.000000000000000,2023,Lightning,2023-G41149,501.100000000000023,2023 ROLLOVER,20230712,20230712,20230701,Unknown,JA70003000,0.000000000000000,2703319.000000000000000,5010611.542700000107288,12407.763999999999214,12407.763961396403829,5010611.542701666243374
63,G41158,2023091501.000000000000000,2023,Lightning,2023-G41158,21926.500000000000000,2023 ROLLOVER,20230915,20230916,20230706,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703320.000000000000000,219265444.708900004625320,101474.975500000000466,96874.837989274470601,149471571.902838319540024
64,G41208,2023071101.000000000000000,2023,Lightning,2023-G41208,8.100000000000000,2023 ROLLOVER,20230711,20230711,20230707,Non-corrected ground GPS,JA70003000,0.000000000000000,2703321.000000000000000,81058.288899999999558,1328.968299999999999,1328.968347252547574,81058.288903252614546
65,G51491,2023071201.000000000000000,2023,Lightning,2023-G51491,1.500000000000000,2023 ROLLOVER,20230712,20230712,20230709,Non-corrected ground GPS,JA70003000,0.000000000000000,2703354.000000000000000,14698.861999999999171,507.801199999999994,507.801242136322287,14698.862017173867571
66,G51542,2023072401.000000000000000,2023,Lightning,2023-G51542,32.399999999999999,2023 ROLLOVER,20230724,20230724,20230710,Non-corrected ground GPS,JA70003000,0.000000000000000,2703355.000000000000000,324383.740200000000186,3229.587799999999788,3229.587836758086269,324383.740170944016427
67,G51564,2023092501.000000000000000,2023,Lightning,2023-G51564,6143.199999999999818,2023 ROLLOVER,20230925,20230925,20230710,Processed IR image,JA70003000,0.000000000000000,2703356.000000000000000,61431889.982900001108646,74664.263399999996182,77950.954993593622930,49356350.210404179990292
68,G51755,2023091001.000000000000000,2023,Lightning,2023-G51755,121.900000000000006,2023 ROLLOVER,20230910,20230910,20230715,Processed IR image,JA70003000,0.000000000000000,2703358.000000000000000,1219012.402400000020862,5891.402600000000348,5891.402622642166534,1219012.402424453059211
69,G51758,2023071801.000000000000000,2023,Lightning,2023-G51758,4.100000000000000,2023 ROLLOVER,20230718,20231129,20230715,Non-corrected ground GPS,JA70003000,0.000000000000000,2703359.000000000000000,41220.586699999999837,1678.998800000000074,1678.998763270460358,41220.586695775709813
70,G51823,2023072701.000000000000000,2023,Lightning,2023-G51823,0.700000000000000,2023 ROLLOVER,20230727,20230727,20230717,Non-corrected ground GPS,JA70003000,0.000000000000000,2703360.000000000000000,6909.191300000000410,595.676000000000045,595.675955766919060,6909.191253885906008
71,G51902,2023080301.000000000000000,2023,Lightning,2023-G51902,4.900000000000000,2023 ROLLOVER,20230803,20230803,20230718,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703361.000000000000000,48634.165800000002491,1801.676500000000033,1801.676494357891215,48634.165831408725353
72,G12157,2023091901.000000000000000,2023,Lightning,2023-G12157,5.300000000000000,2023 ROLLOVER,20230919,20231201,20230718,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703304.000000000000000,53471.318599999998696,1046.837700000000041,1046.837701925651118,53471.318586276414862
73,G12495,2024013001.000000000000000,2023,Lightning,2023-G12495,0.400000000000000,2023 ROLLOVER,20240130,20240131,20230804,Hand sketch of any type,JA70003000,0.000000000000000,2703307.000000000000000,4010.492699999999786,309.879700000000014,309.879712528140658,4010.492703136084401
74,G41304,2023071602.000000000000000,2023,Lightning,2023-G41304,32.700000000000003,2023 ROLLOVER,20230716,20230716,20230707,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703322.000000000000000,327410.797800000000279,2957.735299999999825,2957.735340162847933,327410.797777942963876
75,G41307,2023091702.000000000000000,2023,Lightning,2023-G41307,44642.699999999997090,2023 ROLLOVER,20230917,20230918,20230708,Digitized other,JA70003000,0.000000000000000,2703323.000000000000000,446426582.757600009441376,253546.421399999991991,253546.421370285592275,446426582.757640719413757
76,G41422,2023071801.000000000000000,2023,Lightning,2023-G41422,780.000000000000000,2023 ROLLOVER,20230718,20230818,20230709,Processed IR image,JA70003000,0.000000000000000,2703324.000000000000000,7800367.573800000362098,16770.297500000000582,16770.297471137200773,7800367.573791129514575
77,G41425,2024012901.000000000000000,2023,Lightning,2023-G41425,7.100000000000000,2023 ROLLOVER,20240129,20240129,20230705,Hand sketch of any type,JA70003000,0.000000000000000,2703325.000000000000000,70665.652000000001863,1131.094200000000001,1131.094154473912567,70665.651975385626429
78,G41445,2023072301.000000000000000,2023,Lightning,2023-G41445,66.500000000000000,2023 ROLLOVER,20230723,20230723,20230708,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703326.000000000000000,665400.518999999971129,3791.858499999999822,3791.858517045447570,665400.518958143424243
79,G41466,2023090801.000000000000000,2023,Lightning,2023-G41466,261.800000000000011,2023 ROLLOVER,20230908,20230908,20230709,Processed IR image,JA70003000,0.000000000000000,2703327.000000000000000,2618303.019299999810755,11860.839599999999336,11860.839560332262408,2618303.019291437231004
80,G41493,2023090801.000000000000000,2023,Lightning,2023-G41493,4878.600000000000364,2023 ROLLOVER,20230908,20230908,20230710,Processed IR image,JA70003000,0.000000000000000,2703328.000000000000000,48786218.853000000119209,49552.269599999999627,49552.269564055415685,48786218.853037357330322
81,G41502,2023092302.000000000000000,2023,Lightning,2023-G41502,34826.199999999997090,2023 ROLLOVER,20230923,20230923,20230710,Digitized other,JA70003000,0.000000000000000,2703329.000000000000000,348261629.867699980735779,133470.310900000011316,133470.310852557042381,348261629.867655694484711
82,G41509,2023072401.000000000000000,2023,Lightning,2023-G41509,104.400000000000006,2023 ROLLOVER,20230724,20230725,20230710,Derived from satellite imagery,JA70003000,0.000000000000000,2703330.000000000000000,1044057.035000000032596,4171.113699999999881,4171.113657143897399,1044057.035005072480999
83,G11147,2023071501.000000000000000,2023,Lightning,2023-G11147,2.300000000000000,2023 ROLLOVER,20230715,20230721,20230705,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703281.000000000000000,22830.408800000001065,907.102800000000002,907.102834859439895,22830.408843413675640
84,G11240,2023073101.000000000000000,2023,Lightning,2023-G11240,224.199999999999989,2023 ROLLOVER,20230731,20230808,20230706,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703283.000000000000000,2241559.379000000189990,7758.787900000000263,7758.787879022135712,2241559.378977383021265
85,G11293,2023072601.000000000000000,2023,Lightning,2023-G11293,2263.900000000000091,2023 ROLLOVER,20230726,20230727,20230708,Derived from satellite imagery,JA70003000,0.000000000000000,2703285.000000000000000,22639287.342199999839067,31908.589199999998527,31908.589193657899159,22639287.342238221317530
86,G11297,2024020701.000000000000000,2023,Lightning,2023-G11297,1.700000000000000,2023 ROLLOVER,20240207,20240207,20230707,Digitized from image,JA70003000,0.000000000000000,2703286.000000000000000,17031.952600000000530,557.149000000000001,557.148982631150943,17031.952605951584701
87,G12541,2023081901.000000000000000,2023,Lightning,2023-G12541,1.200000000000000,2023 ROLLOVER,20230819,20230820,20230804,Non-corrected ground GPS,JA70003000,0.000000000000000,2703308.000000000000000,12180.925499999999374,650.488699999999994,650.488713210843798,12180.925468695677409
88,G41511,2023092101.000000000000000,2023,Lightning,2023-G41511,4767.800000000000182,2023 ROLLOVER,20230921,20230921,20230710,Non-corrected ground GPS,JA70003000,0.000000000000000,2703331.000000000000000,47678020.909699998795986,41690.484499999998661,41690.484511738759466,47678020.909718282520771
89,G41560,2023081801.000000000000000,2023,Lightning,2023-G41560,1144.299999999999955,2023 ROLLOVER,20230818,20230818,20230711,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703332.000000000000000,11443129.237999999895692,30103.752300000000105,30103.752260599063447,11443129.238005615770817
90,G41569,2023072301.000000000000000,2023,Lightning,2023-G41569,801.100000000000023,2023 ROLLOVER,20230723,20230723,20230711,Non-corrected airborne GPS,JA70003000,0.000000000000000,2703333.000000000000000,8010961.412899999879301,18468.467100000001665,18468.467093310107884,8010961.412851667962968
